fips,units_all,units_hcv
27017,452,157.0
27019,657,342.0
27021,274,49.0
27023,269,91.0
27025,267,55.0
27027,1444,918.0
27029,117,22.0
27031,49,26.0
27033,243,23.0
27035,892,322.0
27037,4326,2860.0
27039,196,59.0
27041,615,244.0
27043,277,91.0
27045,187,38.0
27047,628,156.0
27049,820,275.0
27051,134,54.0
27053,26908,11850.0
27055,208,59.0
27057,348,93.0
27059,256,64.0
27061,769,317.0
27063,157,35.0
27065,171,25.0
27067,772,423.0
27069,101,4.0
27071,383,128.0
27073,134,38.0
27075,143,4.0
27077,56,4.0
27079,451,231.0
27081,83,22.0
27083,552,115.0
27085,483,125.0
27087,44,12.0
27089,134,39.0
27091,335,139.0
27093,237,105.0
27095,327,18.0
27097,641,217.0
27099,797,238.0
27101,92,20.0
27103,643,436.0
27105,356,63.0
27107,106,46.0
27109,2032,696.0
27111,923,376.0
27113,302,158.0
27115,226,19.0
27117,175,16.0
27119,1105,838.0
27121,144,30.0
27123,15914,6679.0
27125,84,21.0
27127,170,30.0
27129,231,89.0
27131,980,406.0
27133,149,1.0
27135,230,83.0
27137,6125,2403.0
27139,885,459.0
27141,714,412.0
27143,142,20.0
27145,1768,671.0
27147,455,156.0
27149,219,160.0
27151,257,86.0
27153,450,201.0
27155,73,49.0
27157,236,49.0
27159,356,138.0
27161,307,94.0
27163,1466,293.0
27165,135,18.0
27167,169,22.0
27169,800,227.0
27171,507,98.0
27173,158,73.0
28001,1118,235.0
28003,911,183.0
28005,82,25.0
28007,323,101.0
28009,1,
28011,1058,354.0
28013,79,3.0
28015,118,26.0
28017,357,79.0
28019,67,35.0
28021,38,38.0
28023,222,151.0
28025,689,314.0
28027,1466,280.0
28029,294,90.0
28031,99,75.0
28033,777,299.0
28035,2115,1061.0
28037,45,8.0
28039,133,131.0
28041,88,33.0
28043,560,268.0
28045,672,612.0
28047,5927,4739.0
28049,7923,4841.0
28051,409,74.0
28053,262,134.0
28055,24,4.0
28057,137,21.0
28059,2786,2431.0
28061,85,31.0
28063,227,45.0
28065,94,52.0
28067,1273,356.0
28069,155,23.0
28071,290,55.0
28073,572,530.0
28075,3104,1364.0
28077,95,80.0
28079,278,54.0
28081,2265,1055.0
28083,1395,265.0
28085,647,249.0
28087,2135,1162.0
28089,1087,480.0
28091,232,120.0
28093,255,8.0
28095,670,124.0
28097,217,64.0
28099,394,140.0
28101,317,75.0
28103,227,133.0
28105,1108,527.0
28107,336,114.0
28109,499,180.0
28111,66,66.0
28113,1316,759.0
28115,233,74.0
